DATA,"LEADS NOVOS
 WHATSAPP
","LEADS MENTORIA 3k
(R$ 3.100,00 +) ","LEADS MENTORIA 2K
(R$ 1.100,00 a
R$ 3.000,00)","LEADS TRIBO
(R$ 500,00 a
R$ 1.000,00)","TOTAL DE 
LEADS ÚTEIS
WHATSAPP","LEADS NOVOS 
INSTAGRAM","TOTAL DE 
LEADS ÚTEIS
INSTAGRAM",CONTATADOS,NÃO RESPONDERAM A 1ªMENSAGEM (até o fim do dia),"NÃO QUALIFICADO/
SEM INTERESSE","AGENDAMENTOS FEITOS NO DIA
WHATSAPP","AGENDAMENTOS ANTIGOS
",REAGENDAMENTOS,AGENDAMENTOS INSTAGRAM,TOTAL DE AGENDAMENTOS,AGENDAMENTOS ,NÃO COMPARECEU,*CALLS REALIZADAS,VENDAS REALIZADAS TRIBO CHIVUNK (Orgânico),VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),VENDAS DE OUTROS PRODUTOS,AGENDAMENTOS ,NÃO COMPARECEU,*CALLS REALIZADAS,VENDAS REALIZADAS TRIBO CHIVUNK (Orgânico),VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),VENDAS DE OUTROS PRODUTOS,AGENDAMENTOS ,NÃO COMPARECEU,*CALLS REALIZADAS,VENDAS REALIZADAS TRIBO CHIVUNK (Orgânico),VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),VENDAS DE OUTROS PRODUTOS,AGENDAMENTOS ,NÃO COMPARECEU,*CALLS REALIZADAS,VENDAS REALIZADAS TRIBO CHIVUNK (Orgânico),VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),VENDAS DE OUTROS PRODUTOS,"VENDAS
 REALIZADAS
 TRIBO CHIVUNK 
(Orgânico)",VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),TOTAL VENDAS TRIBO CHIVUNK,VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),TOTAL VENDAS MENTORIA,VENDAS DE OUTROS PRODUTOS,TOTAL VENDAS ,*CALLS REALIZADAS
24/01/2025,53,2,19,3,24,,,24,8,5,6,2,,,8,2,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,2
SOMA SEMANAL,212,3,34,6,43,,,78,24,5,15,5,,,20,7,3,4,1,0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7
25/01/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
26/01/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
27/01/2025,135,4,33,10,47,,,62,25,5,5,1,,,6,4,1,3,0,0,0,0,0,4,2,2,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
28/01/2025,53,3,10,7,20,,,33,23,3,3,2,,,5,3,1,2,0,1,0,0,0,3,1,2,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4
29/01/2025,62,4,16,1,21,,,39,23,1,9,0,,,9,5,3,2,1,0,,,,4,3,1,,,,,,,,,,,,,,,,0,,,,,,1,0,1,0,0,0,0,1,3
30/01/2025,60,4,18,7,29,,,38,11,4,7,2,,,9,5,2,3,,1,,,,3,2,1,,,,,,,,,,,,,,,,0,,,,,,0,1,1,0,0,0,0,1,4
31/01/2025,48,0,13,6,19,,,19,8,3,5,3,,,8,5,2,3,,,,,,3,1,2,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,5
SOMA SEMANAL,358,15,90,31,136,,,191,90,16,29,8,,,37,22,9,13,1,2,0,0,0,17,9,8,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,3,21
*TOTAL JANEIRO,797,23,171,58,252,,,332,119,21,52,21,,,73,44,18,26,3,3,0,0,0,20,9,11,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,6,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FEVEREIRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/02/2025,104,6,26,3,35,,,35,7,4,11,1,,,12,4,3,1,,,,,,4,1,3,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,4
04/02/2025,33,1,7,2,10,,,10,4,0,2,1,,,3,4,1,3,,,,,,4,1,3,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,6
05/02/2025,35,1,9,1,11,,,11,4,1,2,2,,,4,3,1,2,,1,,,,5,4,1,,,,,,,,,,,,,,,,0,,,,,,1,0,1,0,0,0,0,1,3
06/02/2025,34,1,11,0,12,,,12,4,0,3,3,,,6,3,1,2,,,,,1,4,3,1,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,1,1,3
07/02/2025,50,0,12,0,12,,,12,4,0,4,1,,,5,2,0,2,,1,,,,3,1,2,,2,,,,,,,,,,,,,,0,,,,,,0,3,3,0,0,0,0,3,4
SOMA SEMANAL,256,9,65,6,80,,,80,23,5,22,8,,,30,16,6,10,0,2,0,0,1,20,10,10,0,2,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,3,4,0,0,0,1,5,20
08/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2025,98,1,27,10,38,,,38,12,4,7,3,,,10,3,0,3,,,,,,5,2,3,,1,,,,,,,,,,,,,,0,,,,,,0,1,1,0,0,0,0,1,6
11/02/2025,36,1,9,3,13,,,13,5,0,4,5,,,9,4,2,2,,,,,,4,2,2,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,4
12/02/2025,32,0,8,3,11,,,11,8,0,2,8,,,10,2,1,1,,,,,,5,2,3,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,4
13/02/2025,24,0,7,4,11,,,11,2,0,5,2,,,7,5,1,4,,,,,,4,2,2,,1,,,,,,,,,,,,,,0,,,,,,0,1,1,0,0,0,0,1,6
14/02/2025,33,1,5,4,10,,,10,4,0,1,3,,,4,3,2,1,,1,,,,5,3,2,,1,,,,,,,,,,,,,,0,,,,,,0,2,2,0,0,0,0,2,3
SOMA SEMANAL,223,3,56,24,83,,,83,31,4,19,21,,,40,17,6,11,0,1,0,0,0,23,11,12,0,3,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,23
15/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2025,49,2,17,12,31,,,39,12,1,10,0,,,10,3,1,2,0,0,,,,4,3,1,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,3
18/02/2025,39,0,12,12,24,,,28,10,0,9,4,,,13,4,1,3,0,1,,,,4,2,2,,1,,,,,,,,,,,,,,0,,,,,,0,2,2,0,0,0,0,2,5
19/02/2025,27,0,8,7,15,,,15,6,0,5,4,,,9,3,0,3,,,,,,6,3,3,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,6
20/02/2025,26,2,2,8,12,,,14,4,2,2,5,,,7,4,0,4,,,,,,6,2,4,,,,,,,,,,,,,,2,0,2,,,1,,,0,0,0,1,0,1,0,1,10
21/02/2025,26,0,8,7,15,,,17,4,1,6,,,,6,4,1,3,,,,,,5,2,3,,1,,,,,,,,,,,,,,0,,,,,,0,1,1,0,0,0,0,1,6
22/02/2025,15,2,2,8,12,,,12,5,0,5,3,,,8,2,0,2,,,,,,2,,2,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,4
SOMA SEMANAL,182,6,49,54,109,,,125,41,4,37,16,,,53,20,3,17,0,1,0,0,0,27,12,15,0,2,0,0,0,,,,,,,,,2,0,2,0,0,1,0,0,0,3,3,1,0,1,0,4,34
23/02/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
24/02/2025,48,4,7,19,30,,,37,10,1,7,0,,,7,4,2,2,1,,,,,4,2,2,,,,,,,,,,,,,,,,0,,,,,,1,0,1,0,0,0,0,1,4
25/02/2025,29,3,3,7,13,,,13,3,1,8,4,,,12,5,2,3,,1,,,,5,2,3,,,,,,,,,,,,,,,,0,,,,,,0,1,1,0,0,0,0,1,6
26/02/2025,18,4,1,6,11,,,11,2,2,4,5,,,9,4,0,4,,,,,,5,3,2,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,6
27/02/2025,23,4,6,2,12,,,12,7,0,2,5,,,7,4,1,3,,,,,,6,3,3,,2,,,,,,,,,,,,,,0,,,,,,0,2,2,0,0,0,0,2,6
28/02/2025,11,2,1,1,4,,,7,5,0,1,2,,,3,4,1,3,,,,,,5,4,1,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,4
SOMA SEMANAL,129,17,18,35,70,,,80,27,4,22,16,,,38,21,6,15,1,1,0,0,0,25,14,11,0,2,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,4,26
*TOTAL FEVEREIRO,790,35,188,119,342,,,368,122,17,100,61,,,161,74,21,53,1,5,0,0,1,95,47,48,0,9,0,0,0,,,,,,,,,2,0,2,0,0,1,0,0,2,13,15,1,0,1,1,17,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MARÇO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2025,14,0,7,1,8,,,8,3,0,1,2,,,3,2,0,2,,1,,,0,2,,2,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,4
02/03/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
03/03/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
04/03/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
05/03/2025,72,10,20,7,37,,,37,21,0,6,4,,,10,4,2,2,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
06/03/2025,22,1,5,5,11,,,11,2,0,3,5,,,8,5,2,3,,,1,,,6,2,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,7
07/03/2025,28,6,8,5,19,,,19,9,1,4,3,,,7,5,2,3,0,1,1,,,5,1,4,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,2,7
08/03/2025,19,1,8,1,10,,,10,4,0,5,4,,,9,2,0,2,,,,,,2,,2,,,1,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,4
SOMA SEMANAL,155,18,48,19,85,,,85,39,1,19,18,,,37,18,6,12,0,2,2,0,0,18,3,15,0,0,1,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,3,0,3,0,5,27
09/03/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
10/03/2025,51,9,14,13,36,,,36,18,1,6,5,,,11,,,0,,,,,,6,2,4,1,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,4
11/03/2025,30,7,7,7,21,,,21,6,0,4,6,,,10,,,0,,,,,,7,2,5,,,,,,,,,,,,,,1,0,1,,,1,,,0,0,0,1,0,1,0,1,6
12/03/2025,25,6,7,3,16,,,16,4,1,6,7,,,13,5,2,3,,,,,,6,1,5,,,,1,,,,,,,,,,1,0,1,,,1,,,0,0,0,1,1,2,0,2,9
13/03/2025,23,5,1,7,13,,,13,5,,7,0,,,7,4,1,3,,,,,,9,6,3,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6
14/03/2025,17,5,5,2,12,,,12,4,1,3,2,,,5,5,0,5,,,,,,6,6,6,,,1,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,11
15/03/2025,13,4,2,1,7,,,7,6,0,0,1,,,1,2,2,0,,,,,,2,1,1,,,,,,1,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
SOMA SEMANAL,159,36,36,33,105,,,105,43,3,26,21,,,47,16,5,11,0,0,0,0,0,36,18,24,1,0,1,1,0,1,0,1,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,1,3,1,4,0,5,38
16/03/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
17/03/2025,49,20,2,11,33,,,33,12,1,8,2,3,,13,3,1,2,,,,1,,4,2,2,,,,,,2,,2,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,6
18/03/2025,35,8,0,4,12,,,12,6,0,4,6,2,,12,5,2,3,,,,,,5,1,4,,,,,,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8
19/03/2025,37,16,4,6,26,,,26,7,0,7,3,0,,10,4,1,3,,,,,,5,2,3,,,,,,4,1,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9
20/03/2025,36,10,1,8,19,,,19,4,1,7,4,0,,11,3,2,1,,,,,,5,2,3,,,,,,4,,4,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8
21/03/2025,33,9,2,1,12,,,12,3,1,2,4,0,,6,2,1,1,,,,,,2,1,1,,,,1,,4,,4,1,,,,,,,,,,,,,1,0,1,0,1,1,0,2,6
22/03/2025,43,6,0,8,14,,,14,5,1,3,2,1,,6,2,1,1,,,,,,3,1,2,,,,,,2,,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
SOMA SEMANAL,233,69,9,38,116,,,116,37,4,31,21,,,58,19,8,11,0,0,0,1,0,24,9,15,0,0,0,1,0,18,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,3,42
23/03/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
24/03/2025,144,20,0,12,32,,,32,10,1,8,1,2,,11,0,0,0,,,,1,,5,2,3,,,,,,6,2,4,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,7
25/03/2025,128,25,0,13,38,,,35,15,3,4,3,1,,8,,,0,,,,,,6,2,4,,,,,,4,,4,,,,1,,,,,,,,,,0,0,0,0,1,1,0,1,8
26/03/2025,170,41,3,12,56,,,56,7,0,12,3,0,,15,2,0,2,,,,,,5,2,3,,,,,,5,,5,,,,1,,,,,,,,,,0,0,0,0,1,1,0,1,10
27/03/2025,110,25,0,10,35,,,35,13,0,8,5,3,,16,5,4,1,,,,,,5,0,5,,,,,,4,1,3,,,1,,,,,,,,,,,0,0,0,1,0,1,0,1,9
28/03/2025,,,,,0,,,,,,,,,,0,0,0,0,,,,,,6,3,3,,,,,,6,3,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6
29/03/2025,19,1,4,2,7,,,24,15,0,5,,,,5,1,1,0,,,,,,2,,2,,,,,,2,,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2
SOMA SEMANAL,571,112,7,49,168,,,182,60,4,37,12,,,55,8,5,3,0,0,0,1,0,29,9,20,0,0,0,0,0,27,6,21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,4,44
30/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2025,43,35,0,8,43,,,43,24,0,7,10,1,,18,1,1,0,,,,,,5,3,2,,1,,,,4,3,1,,,,,,,,,,,,,,0,1,1,0,0,,0,1,3
*TOTAL MARÇO,1161,270,100,147,517,,,531,203,12,120,82,,,215,62,25,37,0,2,2,2,0,112,42,76,1,1,2,2,0,50,11,39,1,0,1,2,0,2,0,2,0,0,2,0,0,2,3,5,7,6,13,0,18,154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABRIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2025,70,34,0,16,50,,,50,24,2,8,6,1,,15,3,3,0,,,,,,6,1,5,,,,,,6,2,4,,,1,,,,,,,,,,,0,0,0,1,0,1,0,1,9
02/04/2025,51,30,0,14,44,,,44,16,0,11,3,2,,16,2,1,1,,,,,,5,2,3,,,,,,6,2,4,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8
03/04/2025,66,28,0,12,40,,,44,19,4,8,7,1,,16,,,0,,,,,,5,2,3,,,,,,6,2,4,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7
04/04/2025,39,22,0,5,27,,,27,10,0,7,8,3,,18,,,0,,,,,,7,2,5,,,,,,5,4,1,,,,1,,,,,,,,,,0,0,0,0,1,1,0,1,6
05/04/2025,51,19,0,7,26,,,26,13,0,5,1,2,,8,,,0,,,,,,4,2,2,,,,,,4,4,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2
06/04/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,320,168,0,62,230,,,234,106,6,46,35,10,,91,6,5,1,0,0,0,0,0,32,12,20,0,1,0,0,0,31,17,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,3,35
07/04/2025,88,15,4,24,43,,,43,18,0,5,5,2,,10,3,1,2,,,,,,8,5,3,,,,,,5,3,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7
08/04/2025,43,5,13,4,22,,,22,5,0,7,5,1,,12,2,1,1,,,,,,7,3,4,,,,,,6,1,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10
09/04/2025,49,8,8,12,28,,,28,14,0,4,6,0,,10,2,1,1,,,,,,6,3,3,,,,1,,4,1,3,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,7
10/04/2025,46,5,13,15,33,,,33,20,0,4,7,1,,11,3,3,0,,,,,,8,5,3,,,1,,,5,1,4,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,7
11/04/2025,50,2,16,13,31,,,31,19,2,5,5,5,,10,1,0,1,,,,,,6,4,2,,,,,,5,0,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8
12/04/2025,24,1,3,6,10,,,10,7,1,1,3,1,,4,2,1,1,,,,,,2,1,1,,,,,,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3
13/04/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,300,36,57,74,167,,,167,83,3,26,31,10,,57,13,7,6,0,0,0,0,0,37,21,16,0,0,1,1,0,27,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,42
14/04/2025,89,9,16,12,37,,,37,20,0,5,3,2,,8,5,2,3,,,,,,6,3,3,,,,,,5,4,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7
